id,age,timestamp,trick_or_treat,n_mints,dress,font
ID1067,55,2015-10-24T10:33:10Z,No,5,White and gold,calibri
ID1068,47,2015-10-24T10:37:35Z,No,3,White and gold,Arial
ID1069,44,2015-10-24T10:39:57Z,No,2,Blue and black,Garamond
ID1070,42,2015-10-24T10:48:08Z,No,5,White and gold,Calibri
ID1071,67,2015-10-24T10:49:52Z,No,47,Blue and black,Helvecia
ID1072,61,2015-10-24T10:49:54Z,No,0,White and gold,arial
ID1073,30,2015-10-24T10:50:14Z,Yes,13,Blue and black,League Gothic
ID1074,40,2015-10-24T10:50:36Z,No,8.5,White and gold,Futura
ID1075,67,2015-10-24T10:51:53Z,No,NA,NA,NA
ID1076,50,2015-10-24T10:53:47Z,No,3,Blue and black,comic sans
ID1077,26,2015-10-24T10:54:46Z,No,4,White and gold,helvetica
ID1078,40,2015-10-24T10:56:43Z,No,6,White and gold,most serif fonts
ID1079,41,2015-10-24T11:00:18Z,No,2,Blue and black,ariel
ID1080,44,2015-10-24T11:02:18Z,No,NA,Blue and black,"comic sans, nah.. ariel"
ID1081,30,2015-10-24T11:04:47Z,No,4,Blue and black,century schoolbook
ID1082,36,2015-10-24T11:05:35Z,No,4,White and gold,georgia
ID1083,66,2015-10-24T11:08:58Z,No,7,NA,Kidprint
ID1084,50,2015-10-24T11:10:01Z,No,5,Blue and black,Wingdings
ID1085,44,2015-10-24T11:14:39Z,No,6,Blue and black,Helvetica
ID1086,27,2015-10-24T11:18:48Z,No,-4,Blue and black,Palatino
ID1087,48,2015-10-24T11:26:48Z,No,17,Blue and black,Weiss
ID1088,46,2015-10-24T11:30:38Z,No,0,White and gold,Bembo
ID1089,44,2015-10-24T11:31:39Z,No,7,Blue and black,Palatino
ID1090,38,2015-10-24T11:34:12Z,No,3,Blue and black,courier
ID1091,36,2015-10-24T11:40:47Z,No,6,White and gold,Garamond
ID1092,35,2015-10-24T11:41:32Z,No,4,White and gold,Futura
ID1093,32,2015-10-24T11:45:14Z,No,0,Blue and black,Garmond
ID1094,27,2015-10-24T11:49:01Z,No,twelve,Blue and black,Comic Sans BURN MOFOS BUUUUURNNNNNN
ID1095,37,2015-10-24T11:50:32Z,No,3,Blue and black,NA
ID1096,55,2015-10-24T11:56:17Z,No,NA,NA,NA
ID1097,37,2015-10-24T11:57:32Z,Yes,NA,NA,NA
ID1098,55,2015-10-24T12:01:03Z,No,23,Blue and black,Anything but comic san
ID1099,55,2015-10-24T12:01:26Z,No,NA,NA,NA
ID1100,37,2015-10-24T12:03:09Z,Yes,3,White and gold,New courier
ID1101,30,2015-10-24T12:03:16Z,No,4,White and gold,Calibri
ID1102,32,2015-10-24T12:08:50Z,No,3,Blue and black,Palatino
ID1103,26,2015-10-24T12:11:09Z,No,0,Blue and black,NA
ID1104,48,2015-10-24T12:16:49Z,No,5,White and gold,NA
ID1105,53,2015-10-24T12:24:08Z,No,5,White and gold,NA
ID1106,28,2015-10-24T12:24:16Z,No,18,White and gold,Courier New
ID1107,30,2015-10-24T12:26:21Z,No,NA,Blue and black,NA
ID1108,29,2015-10-24T12:31:24Z,No,6,White and gold,NA
ID1109,40,2015-10-24T12:31:30Z,No,3,White and gold,Verdana
ID1110,38,2015-10-24T12:33:12Z,No,NA,White and gold,Helvetica
ID1111,57,2015-10-24T12:33:36Z,No,5,Blue and black,Helvetica
ID1113,48,2015-10-24T12:41:39Z,No,6,Blue and black,Times New Roman
ID1114,55,2015-10-24T12:43:15Z,Yes,8,White and gold,old typewriter
ID1115,33,2015-10-24T12:46:04Z,No,16,Blue and black,comic sans
ID1116,57,2015-10-24T12:49:47Z,No,NA,NA,NA
ID1117,59,2015-10-24T12:51:20Z,No,"4. No, 3. Two. Stop eating them! Now you have none.",White and gold,"No specific one--in print, a lightly serifed one."
ID1118,32,2015-10-24T13:04:49Z,No,5,Blue and black,Calibri
ID1119,40,2015-10-24T13:13:12Z,Yes,7,Blue and black,tIMES NEW ROMAN
ID1120,23,2015-10-24T13:16:24Z,No,467,Blue and black,comic sans
ID1121,25,2015-10-24T13:23:20Z,No,0,White and gold,Impact
ID1123,41,2015-10-24T13:28:40Z,No,0,Blue and black,Helvetica
ID1124,56,2015-10-24T13:32:36Z,No,5,NA,times
ID1125,46,2015-10-24T13:35:16Z,No,3,White and gold,wingdings
ID1126,40,2015-10-24T13:37:15Z,No,0,White and gold,NA
ID1127,66,2015-10-24T13:40:29Z,No,7,White and gold,Gill Sans
ID1128,56,2015-10-24T13:45:29Z,No,12,Blue and black,century schoolbook
ID1129,40,2015-10-24T13:46:15Z,No,3,White and gold,ITC Stone Sans
ID1130,51,2015-10-24T13:46:53Z,Yes,4,White and gold,broadway
ID1131,99,2015-10-24T13:52:59Z,No,NA,NA,NA
ID1132,45,2015-10-24T13:58:33Z,Yes,1,Blue and black,Garamond
ID1133,51,2015-10-24T14:00:23Z,No,0,Blue and black,Courier
ID1134,30,2015-10-24T14:07:53Z,No,5,White and gold,Wingdings
ID1135,45,2015-10-24T14:12:00Z,No,6,White and gold,palatino
ID1136,40,2015-10-24T14:12:28Z,Yes,5,Blue and black,Palatino
ID1137,43,2015-10-24T14:14:27Z,No,0,White and gold,Papyrus
ID1138,39,2015-10-24T14:18:51Z,Yes,3,Blue and black,helvetica
ID1139,27,2015-10-24T14:19:19Z,No,18,Blue and black,Book something or another
ID1140,26,2015-10-24T14:20:43Z,No,23,Blue and black,Source Pro
ID1141,34,2015-10-24T14:25:19Z,No,4,Blue and black,NA
ID1142,28,2015-10-24T14:27:33Z,No,13,White and gold,Comic Sans
ID1143,37,2015-10-24T14:29:52Z,No,3,White and gold,NA
ID1144,26,2015-10-24T14:30:39Z,No,3,Blue and black,calibri
ID1145,40,2015-10-24T14:31:15Z,No,NA,NA,NA
ID1146,33,2015-10-24T14:31:39Z,No,7,Blue and black,Comic Sans
ID1147,45,2015-10-24T14:32:33Z,No,3,White and gold,Computer Modern Demibold Condensed
ID1148,55,2015-10-24T14:34:34Z,No,3,White and gold,arial
ID1149,31,2015-10-24T14:34:39Z,No,7,Blue and black,Courier New
ID1150,40,2015-10-24T14:38:45Z,No,2,Blue and black,Calibri
ID1151,31,2015-10-24T14:42:20Z,No,NA,NA,NA
ID1152,39,2015-10-24T14:42:38Z,No,4,Blue and black,Desdemona
ID1153,39,2015-10-24T14:44:00Z,No,4,NA,Calibri
ID1154,49,2015-10-24T14:46:59Z,Yes,5,Blue and black,impact
ID1155,42,2015-10-24T14:50:43Z,No,2,White and gold,bodoni
ID1156,59,2015-10-24T14:51:44Z,No,8,White and gold,Times Roman
ID1157,31,2015-10-24T14:54:51Z,No,Two,NA,Arial
ID1158,30,2015-10-24T14:59:48Z,No,13,Blue and black,Humanist
ID1159,39,2015-10-24T15:01:06Z,No,4,White and gold,Wingdings
ID1160,30,2015-10-24T15:01:58Z,No,2,Blue and black,Courier New
ID1161,34,2015-10-24T15:03:14Z,No,0,White and gold,Futura
ID1162,52,2015-10-24T15:05:17Z,No,4,White and gold,Hoefler Text
ID1163,41,2015-10-24T15:10:50Z,No,27,White and gold,CALIBRI
ID1164,44,2015-10-24T15:11:36Z,No,8,Blue and black,Trade Gothic
ID1165,42,2015-10-24T15:12:08Z,No,3,Blue and black,Georgia
ID1166,47,2015-10-24T15:12:36Z,No,5,Blue and black,wingdings
ID1167,21,2015-10-24T15:13:27Z,No,4,Blue and black,NA
ID1168,32,2015-10-24T15:14:31Z,No,5,Blue and black,Times New Roman
ID1169,40,2015-10-24T15:17:43Z,No,5,Blue and black,I dunno. Helvetica? Calibri?
ID1170,38,2015-10-24T15:18:55Z,No,7,Blue and black,impact
ID1171,42,2015-10-24T15:19:48Z,No,7,White and gold,Times
ID1172,39,2015-10-24T15:21:19Z,No,4,Blue and black,Wing dings
ID1173,43,2015-10-24T15:27:13Z,Yes,2,White and gold,NA
ID1174,50,2015-10-24T15:27:25Z,No,6,White and gold,NA
ID1175,22,2015-10-24T15:27:43Z,No,7,White and gold,gotham
ID1176,22,2015-10-24T15:32:31Z,No,3,Blue and black,Rockwell
ID1177,38,2015-10-24T15:32:39Z,No,17,Blue and black,olde english
ID1178,51,2015-10-24T15:35:53Z,No,5,White and gold,Rockwell Extra Bold Mothafukkers
ID1179,53,2015-10-24T15:37:07Z,No,0,Blue and black,Lucinda
ID1180,43,2015-10-24T15:42:59Z,No,42,Blue and black,Helvetica Neue
ID1181,31,2015-10-24T15:46:29Z,No,0,Blue and black,Courier New
ID1182,32,2015-10-24T15:48:36Z,No,3,Blue and black,Helvetica motherfucker.
ID1183,16,2015-10-24T15:50:47Z,No,6,White and gold,Avenir
ID1184,48,2015-10-24T15:50:52Z,No,5,White and gold,courier new
ID1185,70,2015-10-24T15:53:26Z,No,NA,NA,NA
ID1186,46,2015-10-24T15:55:57Z,Yes,3,White and gold,comic sans
ID1187,45,2015-10-24T15:57:56Z,No,42,White and gold,Garamond
ID1188,60,2015-10-24T15:59:41Z,No,0,NA,NA
ID1189,10,2015-10-24T16:00:33Z,Yes,7,Blue and black,NA
ID1190,28,2015-10-24T16:08:57Z,No,7,White and gold,Helvetica
ID1191,49,2015-10-24T16:11:22Z,No,11,Blue and black,San Francisco
ID1192,9,2015-10-24T16:13:13Z,Yes,5,Blue and black,NA
ID1193,34,2015-10-24T16:15:00Z,No,3,Blue and black,NA
ID1194,46,2015-10-24T16:17:34Z,No,11,White and gold,courier 12
ID1195,11,2015-10-24T16:23:17Z,Yes,3,Blue and black,monton
ID1196,65,2015-10-24T16:26:32Z,No,25,Blue and black,28 days later
ID1197,43,2015-10-24T16:27:46Z,No,2,White and gold,Caslon
ID1198,39,2015-10-24T16:33:20Z,No,5,Blue and black,Ravie
ID1199,38,2015-10-24T16:36:07Z,No,3,Blue and black,Times New Riman
ID1200,40,2015-10-24T16:41:03Z,No,42.7635,White and gold,Helvetica
ID1201,47,2015-10-24T16:42:49Z,No,6,Blue and black,Caslon
ID1202,45,2015-10-24T16:43:49Z,No,54,White and gold,Comic Sans
ID1203,35,2015-10-24T16:45:28Z,No,12,White and gold,tremblant
ID1204,44,2015-10-24T16:46:16Z,No,NA,NA,NA
ID1205,46,2015-10-24T16:46:17Z,No,11,White and gold,Baptismal
ID1207,58,2015-10-24T16:48:13Z,No,42,Blue and black,Comic Fucking Sans
ID1208,57,2015-10-24T16:48:33Z,No,NA,NA,NA
ID1209,38,2015-10-24T16:51:23Z,Yes,3,Blue and black,Courier New
ID1211,30,2015-10-24T16:56:38Z,No,32,Blue and black,Times New Roman
ID1212,32,2015-10-24T16:57:54Z,No,21,White and gold,Verdana
ID1213,45,2015-10-24T16:58:03Z,No,3,White and gold,Cambria
ID1214,42,2015-10-24T17:03:03Z,No,"5, no 3 sir",Blue and black,Palatino
ID1215,48,2015-10-24T17:04:58Z,No,3,Blue and black,Lucida Console
ID1216,57,2015-10-24T17:06:09Z,No,"i need to know the kind of mint. 12 coctail mints,  14 tic-tacs,  4 wrapped hard mint. zero invest-mints",Blue and black,calibri
ID1217,39,2015-10-24T17:10:55Z,No,3.5,White and gold,Rockwell Slab
ID1218,57,2015-10-24T17:13:34Z,No,"i need to know the kind of mint. 12 coctail mints,  14 tic-tacs,  4 wrapped hard mint. zero invest-mints",Blue and black,calibri
ID1219,28,2015-10-24T17:19:07Z,No,4,White and gold,Comic Cans
ID1220,50,2015-10-24T17:21:30Z,No,1,White and gold,gil sans
ID1221,55,2015-10-24T17:22:56Z,No,17,White and gold,Herculanum
ID1222,63,2015-10-24T17:23:57Z,No,5,Blue and black,IBM Selectric
ID1223,35,2015-10-24T17:26:30Z,No,7,White and gold,curlz
ID1224,45,2015-10-24T17:26:41Z,No,0,Blue and black,Calibri
ID1225,49,2015-10-24T17:39:40Z,No,4,White and gold,helv
ID1226,31,2015-10-24T17:41:30Z,No,NA,White and gold,NA
ID1227,30,2015-10-24T17:46:58Z,No,6,White and gold,NA
ID1228,48,2015-10-24T17:50:08Z,No,42,Blue and black,NA
ID1229,19,2015-10-24T17:57:04Z,No,6,Blue and black,Verdana
ID1230,34,2015-10-24T17:57:40Z,No,NA,Blue and black,NA
ID1231,54,2015-10-24T17:57:49Z,No,7,Blue and black,comic
ID1232,31,2015-10-24T18:03:10Z,No,0,White and gold,NA
ID1233,62,2015-10-24T18:04:40Z,No,8,White and gold,NA
ID1234,43,2015-10-24T18:06:57Z,No,3,Blue and black,garamond
ID1235,65,2015-10-24T18:07:39Z,No,3,White and gold,papyrus
ID1236,43,2015-10-24T18:10:26Z,No,3,Blue and black,garamond
ID1237,42,2015-10-24T18:12:50Z,No,3,White and gold,Helvetica
ID1238,67,2015-10-24T18:19:52Z,No,10,White and gold,Comic Sans
ID1239,49,2015-10-24T18:21:14Z,No,14,White and gold,Times Roman
ID1240,49,2015-10-24T18:21:37Z,No,14,White and gold,Times Roman
ID1241,58,2015-10-24T18:24:12Z,No,213,White and gold,Helvetica
ID1242,32,2015-10-24T18:34:28Z,No,6,White and gold,NA
ID1243,30,2015-10-24T18:38:16Z,No,5,Blue and black,Maiandra GD
ID1244,53,2015-10-24T18:40:01Z,No,NA,NA,NA
ID1245,36,2015-10-24T18:40:21Z,No,3,White and gold,Don't have one
ID1246,45,2015-10-24T18:40:36Z,No,12,Blue and black,GROOVE
ID1247,23,2015-10-24T18:43:43Z,No,NA,NA,NA
ID1248,34,2015-10-24T18:44:46Z,No,3,Blue and black,garamond
ID1249,44,2015-10-24T18:46:54Z,No,4,White and gold,"agnostic......oh, that's front"
ID1250,34,2015-10-24T18:47:59Z,No,1,White and gold,Helvetica
ID1251,17,2015-10-24T18:50:29Z,No,6,White and gold,I don't know???
ID1252,55,2015-10-24T18:51:01Z,No,6,Blue and black,Venetia
ID1253,25,2015-10-24T18:52:44Z,No,5,Blue and black,Tnr
ID1254,41,2015-10-24T18:52:45Z,No,0,Blue and black,Helvetica
ID1255,48,2015-10-24T18:53:52Z,No,4,White and gold,Calibri
ID1256,40,2015-10-24T18:55:22Z,No,5,White and gold,Apple garamond
ID1257,25,2015-10-24T18:58:23Z,No,5,Blue and black,Tnr
ID1259,43,2015-10-24T19:08:37Z,Yes,4,Blue and black,Your Mama
ID1260,32,2015-10-24T19:13:04Z,No,3,White and gold,Don't really have one
ID1261,13,2015-10-24T19:14:52Z,Yes,NA,NA,NA
ID1262,47,2015-10-24T19:16:28Z,No,17,Blue and black,Frutiger ultrablack
ID1263,35,2015-10-24T19:18:08Z,No,3,White and gold,Helvetica
ID1264,33,2015-10-24T19:18:41Z,No,0,Blue and black,NA
ID1265,54,2015-10-24T19:19:52Z,No,NA,NA,NA
ID1266,54,2015-10-24T19:23:25Z,No,NA,NA,NA
ID1267,54,2015-10-24T19:23:40Z,No,NA,NA,NA
ID1269,54,2015-10-24T19:24:48Z,No,D,Blue and black,Garamond
ID1270,67,2015-10-24T19:26:52Z,No,17,Blue and black,Times New Roman
ID1272,5,2015-10-24T19:28:30Z,Yes,NA,NA,NA
ID1273,51,2015-10-24T19:30:07Z,No,5,Blue and black,Capri
ID1274,43,2015-10-24T19:33:16Z,No,NA,NA,NA
ID1275,40,2015-10-24T19:34:22Z,No,NA,Blue and black,NA
ID1276,43,2015-10-24T19:35:44Z,Yes,2,White and gold,NA
ID1277,38,2015-10-24T19:39:33Z,No,4,Blue and black,NA
ID1279,32,2015-10-24T19:40:01Z,No,13,White and gold,NA
ID1280,72,2015-10-24T19:40:34Z,No,42,White and gold,garamond
ID1281,44,2015-10-24T19:40:36Z,No,0,Blue and black,Calibri
ID1283,32,2015-10-24T19:46:18Z,No,3,Blue and black,calibri
ID1284,53,2015-10-24T19:47:25Z,No,9,White and gold,Ariel
ID1285,26,2015-10-24T19:48:07Z,No,7,Blue and black,Consolas
ID1287,32,2015-10-24T19:49:10Z,No,42,Blue and black,NA
ID1288,72,2015-10-24T20:03:30Z,No,NA,NA,NA
ID1289,35,2015-10-24T20:07:43Z,No,14,Blue and black,hahaha
ID1290,44,2015-10-24T20:08:21Z,No,4,Blue and black,garamond
ID1291,59,2015-10-24T20:12:53Z,No,Yuck,Blue and black,NA
ID1292,37,2015-10-24T20:15:58Z,No,NA,NA,NA
ID1293,22,2015-10-24T20:16:20Z,No,5,White and gold,Helvetica
ID1294,33,2015-10-24T20:17:03Z,No,4,NA,Comic sans
ID1295,37,2015-10-24T20:22:06Z,No,42,White and gold,Courier
ID1296,50,2015-10-24T20:22:36Z,No,0,White and gold,Caslon
ID1297,47,2015-10-24T20:26:47Z,No,92,White and gold,Times New Roman
ID1298,54,2015-10-24T20:27:41Z,No,2,Blue and black,courier
ID1299,41,2015-10-24T20:28:02Z,No,4,Blue and black,NA
ID1300,40,2015-10-24T20:31:24Z,No,42,White and gold,Garamond
ID1301,44,2015-10-24T20:49:38Z,No,42,White and gold,NA
ID1302,31,2015-10-24T20:50:06Z,No,NA,NA,NA
ID1303,45,2015-10-24T20:52:27Z,No,3,Blue and black,Helvetica
ID1304,41,2015-10-24T20:57:06Z,No,4,Blue and black,Jenson
ID1305,34,2015-10-24T20:57:58Z,No,2,Blue and black,calibri
ID1306,52,2015-10-24T20:59:09Z,No,1254,Blue and black,Helvetica
ID1307,54,2015-10-24T21:06:46Z,No,5,Blue and black,times new roman
ID1308,58,2015-10-24T21:12:36Z,No,5,Blue and black,NA
ID1309,28,2015-10-24T21:14:27Z,Yes,4,White and gold,NA
ID1310,28,2015-10-24T21:15:34Z,No,20,White and gold,impact
ID1311,45,2015-10-24T21:19:00Z,No,5,Blue and black,I have several fanorites depending on what it's being used for
ID1312,30,2015-10-24T21:24:06Z,No,32,White and gold,Myriad pro
ID1313,69,2015-10-24T21:24:18Z,No,42,White and gold,arial
ID1314,31,2015-10-24T21:24:34Z,No,4,Blue and black,This one
ID1315,32,2015-10-24T21:26:49Z,No,3,White and gold,Adobe Garamond Pro
ID1316,30,2015-10-24T21:30:53Z,No,12,White and gold,Garamond
ID1317,67,2015-10-24T21:33:42Z,No,4,White and gold,comic
ID1318,42,2015-10-24T21:36:47Z,No,6,White and gold,Helvetica
ID1319,44,2015-10-24T21:37:59Z,No,17,Blue and black,furnurious
ID1320,34,2015-10-24T21:40:08Z,No,3,White and gold,Airal
ID1321,45,2015-10-24T21:41:47Z,Yes,2178,White and gold,Futura
ID1322,44,2015-10-24T21:44:13Z,Yes,0,White and gold,Segoue UI
ID1323,41,2015-10-24T21:49:38Z,No,none,Blue and black,"Well, it's not Helvetica, if that's what you're asking"
ID1325,44,2015-10-24T21:55:38Z,No,NA,NA,NA
ID1326,37,2015-10-24T21:58:20Z,No,0,Blue and black,Anything monospaced
ID1328,34,2015-10-24T22:00:49Z,No,4,Blue and black,comic sans
ID1329,54,2015-10-24T22:01:04Z,No,NA,Blue and black,Liberation Serif
ID1330,34,2015-10-24T22:01:12Z,No,4,Blue and black,comic sans
ID1331,53,2015-10-24T22:04:20Z,Yes,4,White and gold,arial
ID1332,33,2015-10-24T22:07:21Z,No,5,Blue and black,Helvetica
ID1333,64,2015-10-24T22:13:46Z,No,11,White and gold,comic sans
ID1334,36,2015-10-24T22:23:36Z,No,7,White and gold,Comic Sans
ID1335,44,2015-10-24T22:23:46Z,No,49,NA,Courier New
ID1336,35,2015-10-24T22:25:41Z,No,42,Blue and black,Garamond
ID1337,35,2015-10-24T22:32:21Z,Yes,42,White and gold,Garamond (?)
ID1338,58,2015-10-24T22:36:15Z,No,NA,NA,NA
ID1339,44,2015-10-24T22:40:33Z,No,7,Blue and black,Arial
ID1340,58,2015-10-24T22:43:49Z,No,4,Blue and black,Garamond
ID1341,19,2015-10-24T23:00:33Z,No,NA,Blue and black,Deja Vu Sans
ID1342,39,2015-10-24T23:02:52Z,No,6,Blue and black,calibri
ID1343,49,2015-10-24T23:05:34Z,No,42,White and gold,Albertus
ID1344,56,2015-10-24T23:07:26Z,No,5,Blue and black,HELVETICA
ID1347,40,2015-10-24T23:44:50Z,No,7,White and gold,Sylfaen
ID1348,56,2015-10-24T23:54:38Z,No,2,White and gold,no fondness for fonts
ID1349,49,2015-10-24T23:59:33Z,Yes,5,White and gold,Arial
ID1350,44,2015-10-25T00:00:01Z,No,6,White and gold,Helvetica
ID1351,17,2015-10-25T00:15:00Z,Yes,0,Blue and black,Georgia
ID1352,18,2015-10-25T00:28:10Z,Yes,29,Blue and black,Ariana Grande
ID1355,7,2015-10-25T00:59:05Z,No,3,Blue and black,comix
ID1357,34,2015-10-25T01:12:33Z,No,12,Blue and black,NA
ID1358,57,2015-10-25T01:15:32Z,No,NA,NA,NA
ID1359,39,2015-10-25T01:41:48Z,No,11,Blue and black,times new roman
ID1360,28,2015-10-25T02:10:42Z,No,0,White and gold,NA
ID1361,44,2015-10-25T02:37:41Z,No,6,Blue and black,Garamond
ID1362,44,2015-10-25T03:08:07Z,No,16,White and gold,Webdings
ID1363,23,2015-10-25T03:11:35Z,Yes,NA,White and gold,americana
ID1364,27,2015-10-25T03:18:04Z,No,NA,White and gold,Helvetica
ID1365,48,2015-10-25T03:42:17Z,No,NA,NA,NA
ID1366,43,2015-10-25T03:46:33Z,No,8,NA,NA
ID1367,43,2015-10-25T03:53:08Z,No,0,White and gold,times
ID1368,26,2015-10-25T03:53:57Z,No,20,White and gold,Rockwell
ID1369,34,2015-10-25T04:38:02Z,No,8,Blue and black,Garamond
ID1370,44,2015-10-25T04:38:45Z,No,3,White and gold,helevtica (duh)
ID1371,34,2015-10-25T04:48:55Z,No,7,Blue and black,Anything with nonlining old style figures.
ID1372,27,2015-10-25T04:52:18Z,No,16,Blue and black,Bakersville
ID1373,45,2015-10-25T04:57:17Z,No,0,Blue and black,Talladega
ID1374,35,2015-10-25T05:19:53Z,No,8,White and gold,Helvetica
ID1375,68,2015-10-25T05:29:06Z,No,12,NA,NA
ID1376,38,2015-10-25T05:32:58Z,No,5,Blue and black,Tron font
ID1377,32,2015-10-25T05:39:45Z,No,19,Blue and black,courier
ID1378,33,2015-10-25T05:50:51Z,No,17,White and gold,Courier new
ID1379,31,2015-10-25T05:54:51Z,No,5,NA,NA
ID1380,47,2015-10-25T06:01:55Z,No,23,NA,NA
ID1381,19,2015-10-25T06:04:51Z,No,NA,NA,NA
ID1382,43,2015-10-25T06:06:01Z,No,none,Blue and black,American copperplate
ID1383,33,2015-10-25T06:07:10Z,No,0,Blue and black,Georgia
ID1384,54,2015-10-25T06:18:08Z,No,3,White and gold,NA
ID1385,49,2015-10-25T06:21:07Z,No,googol,White and gold,new times roman
ID1386,45,2015-10-25T06:28:17Z,No,3,Blue and black,Helvetica
ID1387,63,2015-10-25T06:34:10Z,No,6,Blue and black,Gothic
ID1388,45,2015-10-25T06:34:12Z,No,3,Blue and black,helectiva
ID1389,40,2015-10-25T06:37:02Z,Yes,3,Blue and black,Noodles
ID1390,34,2015-10-25T06:37:35Z,No,5,White and gold,Courier New
ID1391,35,2015-10-25T06:41:09Z,Yes,4,Blue and black,Calibri
ID1392,35,2015-10-25T06:42:24Z,No,0,Blue and black,Papyrus
ID1393,22,2015-10-25T06:58:21Z,No,5,White and gold,Papyrus
ID1394,46,2015-10-25T07:04:16Z,No,5,Blue and black,Palatino
ID1395,30,2015-10-25T07:08:40Z,No,"what size mints? 40 tictacs, 13 polo mints, 25 altoids, 1 york peppermint patty, 2 mini candy canes",Blue and black,trebuchet
ID1396,11,2015-10-25T07:09:05Z,Yes,4,Blue and black,helvitica
ID1397,33,2015-10-25T07:16:06Z,No,2,White and gold,NA
ID1398,36,2015-10-25T07:19:57Z,No,19,Blue and black,NA
ID1399,34,2015-10-25T07:34:12Z,No,3,White and gold,Dunno
ID1401,30,2015-10-25T07:38:33Z,No,6,Blue and black,NA
ID1402,33,2015-10-25T07:42:02Z,No,36,White and gold,Georgia
ID1404,56,2015-10-25T08:07:39Z,No,3,White and gold,Garamond
ID1405,43,2015-10-25T08:12:28Z,No,4,NA,Garamond
ID1406,67,2015-10-25T08:18:19Z,No,2,Blue and black,Verdana
ID1407,43,2015-10-25T08:23:32Z,Yes,6,Blue and black,times new roman
ID1408,37,2015-10-25T08:27:51Z,No,4,Blue and black,new courier
ID1409,49,2015-10-25T08:28:58Z,No,5,Blue and black,Menlo
ID1411,46,2015-10-25T08:33:29Z,No,NA,White and gold,NA
ID1412,23,2015-10-25T08:35:39Z,No,12,Blue and black,not comic sans
ID1413,44,2015-10-25T08:38:04Z,No,Zero.,Blue and black,Segoe
ID1414,31,2015-10-25T08:43:06Z,No,0,Blue and black,century gothic
ID1415,44,2015-10-25T08:44:37Z,No,42,Blue and black,wingdings
ID1416,41,2015-10-25T08:44:51Z,No,0,White and gold,na
ID1418,67,2015-10-25T08:55:49Z,No,14,Blue and black,NA
ID1419,23,2015-10-25T08:59:04Z,No,0,NA,menlo
ID1420,39,2015-10-25T08:59:33Z,No,3,White and gold,Lucida sans
ID1421,46,2015-10-25T08:59:36Z,No,3,White and gold,Verdana
ID1422,39,2015-10-25T09:01:12Z,No,7,Blue and black,Ariel
ID1423,41,2015-10-25T09:06:15Z,No,8,Blue and black,Times New Roman
ID1424,47,2015-10-25T09:08:37Z,No,5,Blue and black,georgia
ID1425,26,2015-10-25T09:26:56Z,No,12,White and gold,Futura
ID1427,58,2015-10-25T09:35:46Z,No,4,White and gold,comic sans
ID1428,62,2015-10-25T09:38:32Z,No,8,Blue and black,ariel
ID1429,37,2015-10-25T09:38:36Z,No,4,Blue and black,Helvetica
ID1431,25,2015-10-25T09:43:22Z,No,3,NA,Garamond
ID1432,34,2015-10-25T09:43:23Z,No,5,White and gold,NA
ID1433,36,2015-10-25T09:43:51Z,No,14,NA,Frutiger 45 light
ID1434,35,2015-10-25T09:48:41Z,No,5,White and gold,futura
ID1436,45,2015-10-25T10:13:07Z,No,6,Blue and black,arial
ID1437,42,2015-10-25T10:14:18Z,No,6,Blue and black,Times New Roman
ID1438,57,2015-10-25T10:16:01Z,No,4,Blue and black,Arial
ID1439,46,2015-10-25T10:24:07Z,No,0,Blue and black,helvetica
ID1440,57,2015-10-25T10:24:53Z,No,NA,White and gold,Trebuchet
ID1441,38,2015-10-25T10:30:17Z,No,1,White and gold,Gotham
ID1442,32,2015-10-25T10:30:21Z,No,4,White and gold,Arial
ID1443,29,2015-10-25T10:31:36Z,No,7,Blue and black,NA
ID1444,42,2015-10-25T10:32:24Z,No,5,White and gold,Palatino
ID1445,34,2015-10-25T10:32:36Z,No,57,White and gold,Paper Moon
ID1446,41,2015-10-25T10:43:06Z,No,7,White and gold,DejaVu Sans Light
ID1447,39,2015-10-25T10:46:14Z,No,3,Blue and black,Helvetica
ID1448,14,2015-10-25T10:47:56Z,Yes,4,White and gold,not comic sans
ID1449,33,2015-10-25T10:51:24Z,No,10,Blue and black,Helvetica
ID1450,60,2015-10-25T10:52:33Z,No,3,NA,arial
ID1451,46,2015-10-25T10:56:18Z,No,6,Blue and black,helvetica
ID1452,49,2015-10-25T10:56:53Z,No,7,Blue and black,Palatino
ID1453,27,2015-10-25T11:02:35Z,No,4,White and gold,Helsinki
ID1454,50,2015-10-25T11:07:04Z,No,3,Blue and black,Arial
ID1455,36,2015-10-25T11:09:07Z,No,4,NA,NA
ID1456,51,2015-10-25T11:09:15Z,No,3,NA,Syntax
ID1457,35,2015-10-25T11:10:32Z,No,17,White and gold,Helvetica
ID1458,31,2015-10-25T11:10:17Z,No,17,White and gold,Tahoma
ID1459,47,2015-10-25T11:28:25Z,No,5,White and gold,NA
ID1460,70,2015-10-25T11:31:48Z,No,NA,Blue and black,Humanist521 BT
ID1461,52,2015-10-25T11:35:09Z,No,7,White and gold,Garmond
ID1462,62,2015-10-25T11:36:40Z,No,12,Blue and black,garamond
ID1463,43,2015-10-25T11:43:37Z,No,17,NA,NA
ID1465,54,2015-10-25T11:48:05Z,No,20,Blue and black,Comic Sans
